Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_1210_3225Metric",46.875000,-33.000000,0.000000,top
"C2","22uF","C_1210_3225Metric",31.375000,-40.500000,0.000000,top
"C3","10uF","C_0805_2012Metric",70.125000,-40.500000,0.000000,top
"C4","22uF","C_0805_2012Metric",15.875000,-48.000000,0.000000,top
"C5","1uF","C_0603_1608Metric",54.625000,-48.000000,0.000000,top
"C6","1uF","C_0603_1608Metric",62.375000,-48.000000,0.000000,top
"C7","10uF","C_0805_2012Metric",31.375000,-63.000000,0.000000,top
"C8","10uF","C_0805_2012Metric",39.125000,-63.000000,0.000000,top
"C9","1uF","C_0603_1608Metric",46.875000,-63.000000,0.000000,top
"C10","10uF","C_0805_2012Metric",54.625000,-63.000000,0.000000,top
"C11","100nF","C_0402_1005Metric",19.166666,-21.000000,0.000000,top
"C12","100nF","C_0402_1005Metric",33.500000,-21.000000,0.000000,top
"C13","100nF","C_0402_1005Metric",47.833333,-21.000000,0.000000,top
"C14","10uF","C_0603_1608Metric",62.166666,-21.000000,0.000000,top
"C15","10uF","C_0603_1608Metric",76.500000,-21.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",54.625000,-33.000000,0.000000,top
"C17","100nF","C_0402_1005Metric",39.125000,-40.500000,0.000000,top
"C18","10nF","C_0402_1005Metric",23.625000,-48.000000,0.000000,top
"C21","10uF","C_0805_2012Metric",62.375000,-63.000000,0.000000,top
"C22","100nF","C_0402_1005Metric",70.125000,-63.000000,0.000000,top
"D1","SMBJ24A","D_SMB",23.625000,-33.000000,0.000000,top
"D2","SMBJ24A","D_SMB",70.125000,-33.000000,0.000000,top
"D3","SS34","D_SMA",46.875000,-55.500000,0.000000,top
"D4","SMBJ24A","D_SMB",54.625000,-55.500000,0.000000,top
"D5","SS34","D_SMA",62.375000,-40.500000,0.000000,top
"F1","3A_PTC","Fuse_1206_3216Metric",15.875000,-33.000000,0.000000,top
"F2","3A_PTC","Fuse_1206_3216Metric",62.375000,-33.000000,0.000000,top
"F3","1.5A_PTC","Fuse_1206_3216Metric",39.125000,-55.500000,0.000000,top
"F4","2A_PTC","Fuse_1206_3216Metric",15.875000,-78.000000,0.000000,top
"J1","CM4_J1","Hirose_DF40C-100DS-0.4V",35.000000,-12.000000,0.000000,top
"J2","CM4_J2","Hirose_DF40C-100DS-0.4V",75.000000,-12.000000,0.000000,top
"J3","BATT_IN","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",6.000000,-55.000000,90.000000,top
"J4","DOCK","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",6.000000,-68.000000,90.000000,top
"J5","FC","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",104.000000,-20.000000,-90.000000,top
"J6","GNSS","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",104.000000,-33.000000,-90.000000,top
"J7","ELRS","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",104.000000,-46.000000,-90.000000,top
"J8","TOF","JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",104.000000,-59.000000,-90.000000,top
"J9","TERRA","Hirose_DF13-22DP-1.25V",55.000000,-84.000000,180.000000,top
"J10","DEBUG","PinHeader_1x06_P2.54mm_Vertical",76.500000,-28.000000,0.000000,top
"L1","10uH","L_Coilcraft_XAL4020-XXX",54.625000,-40.500000,0.000000,top
"L2","2.2uH","L_Coilcraft_XAL4020-XXX",23.625000,-63.000000,0.000000,top
"LED1","STATUS","LED_0603_1608Metric",92.500000,-51.600000,0.000000,top
"Q1","DMP2305U-7","SOT-23",39.125000,-33.000000,0.000000,top
"Q2","DMP2305U-7","SOT-23",23.625000,-40.500000,0.000000,top
"Q5","DMP2305U-7","SOT-23",70.125000,-55.500000,0.000000,top
"Q6","DMP2305U-7","SOT-23",15.875000,-63.000000,0.000000,top
"R1","10.0k","R_0402_1005Metric",31.375000,-48.000000,0.000000,top
"R2","3.09k","R_0402_1005Metric",39.125000,-48.000000,0.000000,top
"R3","5.6k","R_0402_1005Metric",15.875000,-70.500000,0.000000,top
"R5","10k","R_0402_1005Metric",70.125000,-70.500000,0.000000,top
"R6","330","R_0603_1608Metric",81.500000,-57.800000,0.000000,top
"R7","10k","R_0402_1005Metric",90.833333,-21.000000,0.000000,top
"R8","10k","R_0402_1005Metric",19.166666,-28.000000,0.000000,top
"R9","10k","R_0402_1005Metric",33.500000,-28.000000,0.000000,top
"R10","4.7k","R_0402_1005Metric",81.500000,-33.000000,0.000000,top
"R11","4.7k","R_0402_1005Metric",92.500000,-33.000000,0.000000,top
"R12","4.7k","R_0402_1005Metric",81.500000,-39.200000,0.000000,top
"R13","4.7k","R_0402_1005Metric",92.500000,-39.200000,0.000000,top
"R14","10k","R_0402_1005Metric",81.500000,-45.400000,0.000000,top
"R15","10k","R_0402_1005Metric",92.500000,-45.400000,0.000000,top
"R16","5.6k","R_0402_1005Metric",23.625000,-70.500000,0.000000,top
"R17","10k","R_0402_1005Metric",31.375000,-70.500000,0.000000,top
"R18","10k","R_0402_1005Metric",39.125000,-70.500000,0.000000,top
"R19","10","R_0402_1005Metric",46.875000,-70.500000,0.000000,top
"R20","10k","R_0402_1005Metric",54.625000,-70.500000,0.000000,top
"R21","10k","R_0402_1005Metric",62.375000,-70.500000,0.000000,top
"RSH1","10mOhm","R_1206_3216Metric",15.875000,-55.500000,0.000000,top
"RSH2","10mOhm","R_1206_3216Metric",23.625000,-55.500000,0.000000,top
"RSH3","10mOhm","R_1206_3216Metric",31.375000,-55.500000,0.000000,top
"SW1","nRPIBOOT","SW_SPST_B3U-1000P",47.833333,-28.000000,0.000000,top
"SW2","RUN","SW_SPST_B3U-1000P",62.166666,-28.000000,0.000000,top
"U1","LM74610QDGKRQ1","VSSOP-8_3.0x3.0mm_P0.65mm",31.375000,-33.000000,0.000000,top
"U2","LM74610QDGKRQ1","VSSOP-8_3.0x3.0mm_P0.65mm",15.875000,-40.500000,0.000000,top
"U3","BQ25792RQMR","QFN-29_L4.0-W4.0-P0.40-BQ25792RQMR",62.375000,-55.500000,0.000000,top
"U4","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",46.875000,-40.500000,0.000000,top
"U5","AP2112K-3.3TRG1","SOT-23-5",46.875000,-48.000000,0.000000,top
"U6","INA3221AIPW","TSSOP-16_4.4x5mm_P0.65mm",70.125000,-48.000000,0.000000,top
